,reviews,stars,date,Verified
18, trip verifi two one review cover economi busi class ba flight london citi ibiza economi excel light lunch small chees pastrami sandwich chocol browni follow pretti much free flow drink trolley flight full crew work hard good job flight would recommend except fall last minut offer upgrad busi 100 direct flew economi busi back brother flew busi economi busi seat ident economi seat block squish four abreast meal almost ident minor tweak yoghurt 100 real plus champagn flight none suppli issu cabin attend think name tom must one best busi eat paid 100 noth oh well great flight stick economi ,4,2023-06-24,True
19, trip verifi absolut horribl airlin communic terribl last minut delay cancel seat chang communic app websit user experi year behind airlin seat cramp uncomfort overpr would fli ,7,2023-06-23,True
20, trip verifi experienc delay cancel depart usa europ 3 5 hour estim delay lhr head back usa would warn travel ba becom unreli fli list get better organ ,1,2023-06-22,True
21, trip verifi travel heathrow kalamata return journey 11 day later world travel aka economi class flight depart time return flight land earli 1 1 4 hour wait baggag offload rather ruin journey home caught motorway closur flight ok fa particular return flight pleasant enough usual economi class seat truli dread legroom better club class either middl seat left free mark recommend tall ,1,2023-06-20,True
22,verifi flight fail everi level delay arriv destin late prepaid car transfer phone advis us could wait anoth 10 minut us ba holiday pre order food flight never load onto flight final compound british airway complet utter useless luggag still heathrow flight tomorrow earliest luggag could possibl arriv late wednesday even cloth flew read claim toiletri underwear seem antithesi happi holiday might expect complimentari scone lieu food told could purchas trolley avail would like make clear british airway bronz level holder long retir show use airlin histor ,7,2023-06-20,False
23,verifi bewar british airway market make believ full class level rest treat way get bump flight respons compens mistak recent trip home plan mrs sea mechan issu meant depart late mrs lhr need make connect flight land plenti time make next gate seri issu choic british airway kept us board next plane crew let passeng connect flight first hold next flight mere 5 10 minut passeng make connect airlin plus discov actual bump next flight even land push virgin atlant figur get us home extend travel day 8 hour travel children well offer compens upgrad made ba refus provid us financi compens paid trip home one connect instead two connect multipl airlin deal secur extra airport kid midnight flight never plan paid ba refus make right bewar potenti travel ,1,2023-06-19,False
24, trip verifi flew cairo heathrow call euro club class cramp coach seat middl empti seat horribl servic get heathrow airport 40 minut late run around look connect flight final jump escal train anoth build gate given seat differ paid extra shame well known airlin ,1,2023-06-19,True
25,verifi flew numer airlin gotta admit british airway far worst airlin ever come custom support wait 3 week ticket chang call center worker give fals inform would make hang told suppos get email flight chang never got live chat like american airlin onlin form submit question work intern number total garbag ,2,2023-06-16,False
26, trip verifi travel famili 5 peopl ident airport arriv airport 1 hour flight kiosk unabl read one passport go check ladi check check passport gave us board pass extra time head straight secur realiz ladi gave us duplic board pass passport holder got stuck secur figur wrong miss flight ran airport 70 year old 9 year old includ parti staff gate cordial help arriv ,1,2023-06-13,True
27, trip verifi flight 8 40am dub lci cancel 1155pm night text messag phone wait bus stop random check email see altern flight option hang dark 5am hard see mobil phone screen still jet lag option lhr 9 20am tri call one ept see day chang next day want flight stay dockland henc choos lci thought better take leav hour origin flight nope better call say hey sorri screw flight go work ommod dublin want wast one night london call sur custom servic even call treat peopl like answer kept call jame name brutal ept anyth basic made feel like moron moment confus ept first avail flight stupid supercomput kept tell algorithm flight chosen call us could put onto aer lingus flight call fault callous uncar want charg 600 pound new flight chang fee said nope book flight today ryanair plus need find way gatwick dockland money ba utter contempt passeng fli qanta 25 year funki stuff never level cruelti one simpl error never peopl ept utter contempt ineptitud welcom u k wow ,3,2023-06-12,True
28, trip verifi terribl travel twice year via busi class signific delay cancel connect flight custom servic complet lack appal forc chang credit card longer intend use ba flight terribl uncomfi old plane miser staff ,1,2023-06-11,True
29, trip verifi custom servic ugli tri call two week ago still problem flight get someon india thought fli iberia look close ticket british airway never fli british airway ever ,1,2023-06-11,True
30, trip verifi uncomfort flight ever experienc long time sinc flown long haul cramp condit aw row close togeth person front reclin seat tv close focus ba seem want make economi uncomfort encourag custom upgrad work avoid fli ba futur onward flight latam 787 aircraft room row far comfort return flight santiago light turn 8pm feel cabin crew avoid provid servic disappear behind curtain ,1,2023-06-10,True
31, trip verifi book first countri trip take husband surpris trip monaco gave us 3 hour connect flight home heathrow flight left seattl hour late caus us miss connect flight reschedul even land book us flight 7 hour later offer food ticket type reimburs addit sat custom servic line hour half see could rebook us earlier flight watch continu assist custom walk outsid queue earlier flight avail arriv nice franc airport close includ rental car desk offer assist airlin room ommod night found cab cost us 85 euro one one get hotel thought way someth like could happen way home wrong flight nice heathrow 30 minut late 2 5 hour layov would think still make flight unfortun long secur line caus 1 5 hr delay arriv ba close door said could hold plane longer despit arriv 15min departur run heathrow airport go secur sent us back custom servic queue first statement get tomorrow beg found us flight anoth airlin time told bag transfer flight delta given 8 pound snack airport addit 5 hour delay total trip home spent 13 hour heathrow airport origin total layov 6 hour offer 8 pound unfortun drama continu two bag said made delta flight shock told file claim delta sinc last part flight home 5 day airlin point finger said today care bag figur send luggag want 500 reimburs per bag come close memori stuff never fli british airway delta baggag peopl great either ,3,2023-06-08,True
32, trip verifi husband book seat within premium economi book outward journey ba015 12 februari return 11 march last almost last serv food time run choic one asion eat avail option curri disagre flight appear undu focus curri spici food disappoint left us poor opinion british airway ,1,2023-06-07,True
33,verifi may 3 flew seattl heathrow edinburgh ba lost golf bag caus purchas golf shoe club rental tee ball tee time two cours st andrew took month make promis bag return 24 hour would reimburs ur expens contact ba state would reimburs toiletri return flight home random cancel ba without notifi without notic two week schedul flight contact corpor travel team inform ba cancel return reserv rebook flight ba custom servic horrend make fals promis never use airlin bewar british airway also random cancel girlfriend father flight gold member ,4,2023-06-06,False
34, trip verifi went three flight reach destin ba flight without except delay way destin back destin understand extent understand prepar one flight delay almost hour end miss flight rebook 24h ahead provid ommod mess well 30 hour travel wait hope hotel would find extra room sinc ba communic proper gave ba chanc correct mistak contact flight answer lot serious complaint involv flight tell contact partner last flight went smooth noth previous address complaint contact gave week ask address complaint partner could noth ghost 2 10 kind personnel hold airlin togeth though ,1,2023-06-06,True
35, trip verifi excel flight club world british airway welcom aboard warm continu throughout flight crew attent friend profession board food dinner breakfast good well chosen select wine flight entertain offer great select film audio seat flat bed comfort british airway done excel job design comfort suit board a350 like sleek minimalist design flight show ba among world best airlin ,2,2023-06-06,True
36, trip verifi flight schedul delay one hour board plane delay least anoth 30 minut arriv london delay least anoth 30 minut find gate left 45 minut catch connect flight barcelona need run take train differ termin catch next connect flight arriv barcelona airport discov check luggag still london pain trip disrupt vacat fli ba anymor find altern airlin ,9,2023-06-05,True
37, trip verifi worst experi year travel first flight two kid boston london delay 2 hour result miss connect flight despit layov approxim 2 5 hour end wait 4 30 pm board flight cairo unfortun even flight delay would strong advis avoid particular airlin even mean pay bit differ option ,3,2023-06-03,True
38, trip verifi worst experi year travel bag destroy flight delay 3 hour get water board attempt claim websit entir site fail dropdown menu work contact plane filthi someon els belong left food still seat ,1,2023-06-03,True
39, trip verifi terribl delay rebook domest travel 5 passeng receiv reimburs lost luggag receiv luggag 4 day purchas new cloth famili wed custom servic rep pick phone ,1,2023-06-02,True
40, trip verifi serious medic problem appear onboard inform crew help unfortun transit travel becam difficult unwel becam also could find way back home condit thank crew help everi step journey return back home stress experi crew british airway made way toler ,2,2023-06-01,True
41, trip verifi flown british airway never fli check process terribl slow 30 peopl regular check line two agent work one agent work first class line take long check peopl especi peopl check onlin ahead time group check onlin almost miss plane slow counter servic run gate make terribl ,10,2023-05-30,True
42,verifi itinerari suppos las vega chicago london venic land london heathrow stuck aircraft 2 hour explan delay miss connect flight venic get plane real nightmar took place flight 300 peopl aboard mean mani rush get flight alreadi miss flight put us two line one peopl miss flight wait approxim 10 minut come clerk told sinc miss flight would go connect flight ba servic desk assist known inform would receiv would skip line altogeth went servic desk 60 peopl stand line wait 30 minut clerk came pass everyon pamphlet tell peopl creat ount onlin book flight ba site sinc system rebook anyon hassl anyth ba site end call helplin wait connect ba rep spoke woman said would call iberia airlin rebook call iberia said sinc book expedia would call expedia said would call ba rebook call ba rep said flight could get book follow monday mind travel sinc 25th friday hotel vicin airport book tri figur check baggag went still custom servic got ba rep horribl servic could care less predica compani caus act like inconvenienc issu also sleep airport wait flight next morn hotel book overal experi british airlin worst airlin experi ever deal never book compani would rather pay money ticket differ airlin buy compani ,1,2023-05-29,False
43, trip verifi busi day lhr flight full loung crowd b gate loung quieter flight left time profession crew greet name execut club status acknowledg thank return custom nice touch servic good food averag entertain good earli arriv quick process jfk good ,1,2023-05-29,True
44, trip verifi worst seat ever encount economi class leg room spread leg fit staff termin rude busi class offer seat legroom block middl seat cram peopl seat legroom block seat type front plane legroom busi class passeng empti seat plane old onboard entertain 3 hour flight last time fli british airway ,9,2023-05-27,True
